epoch,accuracy,f1_score,iou_m,loss,precision_m,recall_m,val_accuracy,val_f1_score,val_iou_m,val_loss,val_precision_m,val_recall_m
0,0.7514106035232544,0.2227611243724823,0.07871843129396439,0.6879636645317078,0.5239785313606262,0.14554573595523834,0.7369281053543091,0.07772157341241837,0.0226708073168993,0.6836897730827332,0.634782612323761,0.041394952684640884
1,0.7541232705116272,0.04123321920633316,0.011811839416623116,0.681686520576477,0.5772727727890015,0.021531930193305016,0.7373365759849548,0.015181329101324081,0.004199066665023565,0.6770432591438293,0.8999999165534973,0.007655230350792408
2,0.7541232705116272,0.002398749114945531,0.0006595144513994455,0.6746625900268555,0.4999999701976776,0.0012025611940771341,0.7373365759849548,0.0,0.0,0.6697859168052673,0.0,0.0
3,0.7541232705116272,0.0,0.0,0.6670016646385193,0.0,0.0,0.7373365759849548,0.0,0.0,0.6619200706481934,0.0,0.0
4,0.7541232705116272,0.0,0.0,0.6587153673171997,0.0,0.0,0.7373365759849548,0.0,0.0,0.6534574627876282,0.0,0.0
5,0.7541232705116272,0.0,0.0,0.6498434543609619,0.0,0.0,0.7373365759849548,0.0,0.0,0.644431471824646,0.0,0.0
6,0.7541232705116272,0.0,0.0,0.6402740478515625,0.0,0.0,0.7373365759849548,0.0,0.0,0.6347581744194031,0.0,0.0
7,0.7541232705116272,0.0,0.0,0.6299969553947449,0.0,0.0,0.7373365759849548,0.0,0.0,0.6242729425430298,0.0,0.0
8,0.7541232705116272,0.0,0.0,0.6190077066421509,0.0,0.0,0.7373365759849548,0.0,0.0,0.6129420399665833,0.0,0.0
9,0.7541232705116272,0.0,0.0,0.6069852113723755,0.0,0.0,0.7373365759849548,0.0,0.0,0.6006151437759399,0.0,0.0
10,0.7541232705116272,0.0,0.0,0.5937879085540771,0.0,0.0,0.7373365759849548,0.0,0.0,0.5870510339736938,0.0,0.0
11,0.7541232705116272,0.0,0.0,0.5794233083724976,0.0,0.0,0.7373365759849548,0.0,0.0,0.5722752213478088,0.0,0.0
12,0.7541232705116272,0.0,0.0,0.5637736320495605,0.0,0.0,0.7373365759849548,0.0,0.0,0.5566959977149963,0.0,0.0
13,0.7541232705116272,0.0,0.0,0.5473699569702148,0.0,0.0,0.7373365759849548,0.0,0.0,0.5406091213226318,0.0,0.0
14,0.7541232705116272,0.0,0.0,0.5302459001541138,0.0,0.0,0.7373365759849548,0.0,0.0,0.5244100689888,0.0,0.0
15,0.7541232705116272,0.0,0.0,0.5132905840873718,0.0,0.0,0.7373365759849548,0.0,0.0,0.5085830092430115,0.0,0.0
16,0.7541232705116272,0.0,0.0,0.4968595504760742,0.0,0.0,0.7373365759849548,0.0,0.0,0.4935881197452545,0.0,0.0
17,0.7541232705116272,0.0,0.0,0.48137015104293823,0.0,0.0,0.7373365759849548,0.0,0.0,0.4799129366874695,0.0,0.0
18,0.7541232705116272,0.0,0.0,0.4671947956085205,0.0,0.0,0.7373365759849548,0.0,0.0,0.46822720766067505,0.0,0.0
19,0.7541232705116272,0.0,0.0,0.45533549785614014,0.0,0.0,0.7373365759849548,0.0,0.0,0.4588751792907715,0.0,0.0
20,0.7541232705116272,0.0,0.0,0.4461309611797333,0.0,0.0,0.7373365759849548,0.0,0.0,0.45222359895706177,0.0,0.0
21,0.7541232705116272,0.0,0.0,0.43894970417022705,0.0,0.0,0.7373365759849548,0.0,0.0,0.4475592374801636,0.0,0.0
22,0.7541232705116272,0.0,0.0,0.4341495633125305,0.0,0.0,0.7373365759849548,0.0,0.0,0.4445725083351135,0.0,0.0
23,0.7541232705116272,0.0,0.0,0.43073680996894836,0.0,0.0,0.7373365759849548,0.0,0.0,0.44181355834007263,0.0,0.0
24,0.7541232705116272,0.0,0.0,0.42766064405441284,0.0,0.0,0.7373365759849548,0.0,0.0,0.43868181109428406,0.0,0.0
25,0.7541232705116272,0.0,0.0,0.42412135004997253,0.0,0.0,0.7373365759849548,0.0,0.0,0.4342609941959381,0.0,0.0
26,0.7541232705116272,0.0,0.0,0.41960448026657104,0.0,0.0,0.7373365759849548,0.0,0.0,0.4287225008010864,0.0,0.0
27,0.7541232705116272,0.0,0.0,0.41415753960609436,0.0,0.0,0.7373365759849548,0.0,0.0,0.4223054349422455,0.0,0.0
28,0.7541232705116272,0.0,0.0,0.4082244634628296,0.0,0.0,0.7373365759849548,0.0,0.0,0.4155195355415344,0.0,0.0
29,0.7541232705116272,0.0,0.0,0.4016059637069702,0.0,0.0,0.7373365759849548,0.0,0.0,0.40860193967819214,0.0,0.0
30,0.7541232705116272,0.0,0.0,0.3948642313480377,0.0,0.0,0.7373365759849548,0.0,0.0,0.4008830487728119,0.0,0.0
31,0.7541232705116272,0.0,0.0,0.387401282787323,0.0,0.0,0.7373365759849548,0.0,0.0,0.39267396926879883,0.0,0.0
32,0.7541232705116272,0.0,0.0,0.3794158697128296,0.0,0.0,0.7373365759849548,0.0,0.0,0.3846169710159302,0.0,0.0
33,0.7541232705116272,0.00440942170098424,0.0012141907354816794,0.37167471647262573,0.6333333253860474,0.0022138075437396765,0.7373365759849548,0.007893994450569153,0.0021772938780486584,0.37663641571998596,0.699999988079071,0.003969379235059023
34,0.7541232705116272,0.025100283324718475,0.007008302491158247,0.3641557991504669,0.7480769157409668,0.012780889868736267,0.7373365759849548,0.047841619700193405,0.013530326075851917,0.36851397156715393,0.7909090518951416,0.024666855111718178
35,0.7541232705116272,0.06936213374137878,0.01994030550122261,0.35602545738220215,0.7792726755142212,0.03634123504161835,0.7373365759849548,0.12666143476963043,0.037791602313518524,0.3603620231151581,0.7838709354400635,0.06889708340167999
36,0.7541232705116272,0.1177901104092598,0.035023562610149384,0.3480212092399597,0.761783242225647,0.06384988129138947,0.7373365759849548,0.18571071326732635,0.05800933018326759,0.35253289341926575,0.7612244486808777,0.10575560480356216
37,0.7541232705116272,0.17849509418010712,0.05586108937859535,0.3401990830898285,0.7407921552658081,0.10186056792736053,0.7373365759849548,0.2631210386753082,0.08771384507417679,0.34487250447273254,0.7421053051948547,0.15990927815437317
38,0.7541232705116272,0.24302378296852112,0.08005763590335846,0.3327949047088623,0.7258882522583008,0.14594560861587524,0.7373365759849548,0.3127899169921875,0.1101088672876358,0.33779120445251465,0.7080000042915344,0.20073717832565308
39,0.7541232705116272,0.27657365798950195,0.09410764276981354,0.32586291432380676,0.7128205299377441,0.1715756356716156,0.7373365759849548,0.3316691815853119,0.11881804466247559,0.3313652575016022,0.7074074149131775,0.2166147083044052
40,0.7541232705116272,0.3035234808921814,0.10619109869003296,0.31948816776275635,0.7041417360305786,0.19359898567199707,0.7373365759849548,0.36115196347236633,0.13359253108501434,0.3257731795310974,0.6983739733695984,0.24354977905750275
41,0.7541232705116272,0.3494550585746765,0.1289663016796112,0.313768595457077,0.6908413767814636,0.23512181639671326,0.7373365759849548,0.3966107964515686,0.15287713706493378,0.32105201482772827,0.6874126195907593,0.2787071168422699
42,0.7541232705116272,0.3761812448501587,0.14307132363319397,0.30887141823768616,0.6765753030776978,0.2608059048652649,0.7373365759849548,0.40583181381225586,0.158009335398674,0.3167624771595001,0.686486542224884,0.28806352615356445
43,0.7541232705116272,0.3903399705886841,0.15108096599578857,0.30417579412460327,0.6698743104934692,0.2754136919975281,0.7373365759849548,0.4228593111038208,0.16858476400375366,0.313315212726593,0.6775000095367432,0.30734333395957947
44,0.7541232705116272,0.40935295820236206,0.16206404566764832,0.30035483837127686,0.6662675738334656,0.29544001817703247,0.7373365759849548,0.44440239667892456,0.18304820358753204,0.31044644117355347,0.6649717092514038,0.3337113559246063
45,0.7541232705116272,0.41892537474632263,0.16787253320217133,0.2972453236579895,0.6643450260162354,0.30604612827301025,0.7373365759849548,0.4485665261745453,0.18615862727165222,0.30802807211875916,0.6613259315490723,0.3393819034099579
46,0.7540147304534912,0.4297654628753662,0.17488467693328857,0.2944357991218567,0.6585500240325928,0.318957656621933,0.7373365759849548,0.4597025215625763,0.19471228122711182,0.30610278248786926,0.6520833373069763,0.3549758791923523
47,0.75390625,0.4468071460723877,0.18661195039749146,0.29216307401657104,0.6512024402618408,0.3404920697212219,0.7373365759849548,0.46364128589630127,0.197822704911232,0.3043420910835266,0.6489796042442322,0.36064642667770386
48,0.75390625,0.45635342597961426,0.1930094063282013,0.290127694606781,0.6483926773071289,0.35214585065841675,0.7373365759849548,0.47183725237846375,0.20388802886009216,0.3027913570404053,0.6458128094673157,0.37170401215553284
49,0.75390625,0.45760270953178406,0.19422543048858643,0.28838396072387695,0.648808479309082,0.35435307025909424,0.7373365759849548,0.4742230772972107,0.20528770983219147,0.3013473451137543,0.6470588445663452,0.3742557168006897
50,0.75390625,0.4604380130767822,0.19578532874584198,0.28675270080566406,0.6477731466293335,0.35725539922714233,0.7373365759849548,0.48581987619400024,0.21446344256401062,0.30013614892959595,0.6413953900337219,0.39098381996154785
51,0.75390625,0.4696219563484192,0.202886700630188,0.2852264642715454,0.644223690032959,0.3702208995819092,0.7373365759849548,0.4934747517108917,0.2205287516117096,0.2990172505378723,0.638738751411438,0.40204137563705444
52,0.75390625,0.4781561493873596,0.2093934714794159,0.2839413285255432,0.6389012932777405,0.38208526372909546,0.7373365759849548,0.4961051344871521,0.22286157310009003,0.29784974455833435,0.636888861656189,0.4062942862510681
53,0.7537977695465088,0.47358396649360657,0.2059248387813568,0.2827301025390625,0.6402941942214966,0.37584739923477173,0.7373365759849548,0.49170586466789246,0.2189735472202301,0.29651448130607605,0.6399999856948853,0.39920610189437866
54,0.7537977695465088,0.47315019369125366,0.2058885544538498,0.2815024256706238,0.6395061016082764,0.3758670687675476,0.7369281053543091,0.49698638916015625,0.2240682989358902,0.29552575945854187,0.63289475440979,0.4091295599937439
55,0.7537977695465088,0.4759971499443054,0.20823752880096436,0.28031688928604126,0.6376912593841553,0.3801209330558777,0.7369281053543091,0.49957168102264404,0.22639749944210052,0.2944546937942505,0.6311688423156738,0.41338247060775757
56,0.7536892294883728,0.47742342948913574,0.21019247174263,0.2791993021965027,0.633527398109436,0.3838489055633545,0.7369281053543091,0.5038219690322876,0.23027949035167694,0.2934860587120056,0.628389835357666,0.420470654964447
57,0.7535807490348816,0.48404693603515625,0.21553054451942444,0.27815482020378113,0.6293281316757202,0.3937848210334778,0.7369281053543091,0.5080006122589111,0.23416146636009216,0.2925821542739868,0.6257261037826538,0.4275588095188141
58,0.7535807490348816,0.48284465074539185,0.21483728289604187,0.2771092653274536,0.6276274919509888,0.3925754427909851,0.7369281053543091,0.500766932964325,0.2281055748462677,0.29145070910453796,0.6277777552604675,0.4165012538433075
59,0.7535807490348816,0.48128676414489746,0.21396246552467346,0.27626287937164307,0.6273533701896667,0.3909846544265747,0.7369281053543091,0.5038219690322876,0.23027949035167694,0.2906115651130676,0.628389835357666,0.420470654964447
60,0.7535807490348816,0.4799270033836365,0.21278423070907593,0.2752200663089752,0.6271352767944336,0.3887442350387573,0.7369281053543091,0.4976910650730133,0.22593167424201965,0.28956279158592224,0.6271551847457886,0.41253188252449036
61,0.7535807490348816,0.4749310612678528,0.20936736464500427,0.27426624298095703,0.6269095540046692,0.38249558210372925,0.7369281053543091,0.5011041164398193,0.22903726994991302,0.2888091206550598,0.625,0.4182024300098419
62,0.7535807490348816,0.4854043126106262,0.21747827529907227,0.2733567953109741,0.6236057877540588,0.39734622836112976,0.7369281053543091,0.509133517742157,0.23586955666542053,0.2880921959877014,0.6225409507751465,0.430677592754364
63,0.7535807490348816,0.4891248941421509,0.22080451250076294,0.2725355625152588,0.6214848756790161,0.40333595871925354,0.7369281053543091,0.5014389157295227,0.22996895015239716,0.2870357632637024,0.6222689151763916,0.41990360617637634
64,0.7535807490348816,0.4824625551700592,0.21584674715995789,0.271639347076416,0.6214075088500977,0.39435338973999023,0.7369281053543091,0.49974510073661804,0.22841615974903107,0.2860534191131592,0.623305082321167,0.41706833243370056
65,0.7535807490348816,0.47267329692840576,0.20824211835861206,0.2709474563598633,0.6241669654846191,0.3803902268409729,0.7369281053543091,0.5014389157295227,0.22996895015239716,0.2853038012981415,0.6222689151763916,0.41990360617637634
66,0.7535807490348816,0.4792168438434601,0.2135256975889206,0.2700675129890442,0.6215587258338928,0.3901680111885071,0.7369281053543091,0.5089210271835327,0.23695653676986694,0.28483694791793823,0.617813766002655,0.43266230821609497
67,0.7535807490348816,0.4944644570350647,0.22666028141975403,0.2695791721343994,0.6142444610595703,0.41402751207351685,0.7369281053543091,0.5113654136657715,0.23928572237491608,0.28422412276268005,0.6164000034332275,0.43691521883010864
68,0.7536892294883728,0.4833585023880005,0.217961385846138,0.2689208388328552,0.6176443696022034,0.3979516327381134,0.7369281053543091,0.4975326657295227,0.22701862454414368,0.2830468416213989,0.6221276521682739,0.4145165681838989
69,0.7536892294883728,0.4713728427886963,0.20820194482803345,0.26811784505844116,0.620306670665741,0.3802020847797394,0.7369281053543091,0.5081008076667786,0.2361801266670227,0.28252431750297546,0.6182926893234253,0.43124470114707947
70,0.7535807490348816,0.48857247829437256,0.22266839444637299,0.2676267623901367,0.613329291343689,0.40690550208091736,0.7369281053543091,0.5174962282180786,0.2445652186870575,0.28243979811668396,0.615234375,0.44655513763427734
71,0.7536892294883728,0.49056828022003174,0.22378046810626984,0.2668185830116272,0.6135434508323669,0.40867286920547485,0.7369281053543091,0.5017714500427246,0.2309006154537201,0.2812126874923706,0.6195833086967468,0.4216047525405884
72,0.7536892294883728,0.47423499822616577,0.21073873341083527,0.26623332500457764,0.6179832220077515,0.3847786486148834,0.7369281053543091,0.49957743287086487,0.2295030802488327,0.2806508243083954,0.618410050868988,0.41905301809310913
73,0.7536892294883728,0.477952778339386,0.2135760337114334,0.2656235694885254,0.6171746253967285,0.3900265097618103,0.7369281053543091,0.5145870447158813,0.24239131808280945,0.2804231345653534,0.61456698179245,0.4425857663154602
74,0.7535807490348816,0.4917740225791931,0.22519928216934204,0.26512712240219116,0.6113611459732056,0.41141343116760254,0.7369281053543091,0.5167022347450256,0.24378882348537445,0.28002485632896423,0.615686297416687,0.44513750076293945
75,0.7535807490348816,0.4926146864891052,0.2263840138912201,0.26467472314834595,0.6101962327957153,0.413642555475235,0.7369281053543091,0.5062530636787415,0.23571427166461945,0.27919578552246094,0.6145749092102051,0.43039408326148987
76,0.7536892294883728,0.47234654426574707,0.21066005527973175,0.2642476558685303,0.6146026849746704,0.38464683294296265,0.7369281053543091,0.4903533458709717,0.22298137843608856,0.27868154644966125,0.6163090467453003,0.4071448743343353
77,0.7536892294883728,0.48068439960479736,0.21801960468292236,0.26407045125961304,0.613412618637085,0.39822763204574585,0.7369281053543091,0.5222058296203613,0.24922360479831696,0.27868080139160156,0.6125954389572144,0.4550609290599823
78,0.7535807490348816,0.4940800070762634,0.22777968645095825,0.26326784491539,0.6081942915916443,0.41617095470428467,0.7369281053543091,0.5100380778312683,0.23866459727287292,0.27795958518981934,0.614799976348877,0.4357810914516449
79,0.7535807490348816,0.48255211114883423,0.21806567907333374,0.26284071803092957,0.6130106449127197,0.39841634035110474,0.7369281053543091,0.4938103258609772,0.22608695924282074,0.2774753272533417,0.6143460273742676,0.4128154218196869
80,0.7535807490348816,0.47632771730422974,0.21378445625305176,0.2624407410621643,0.612298846244812,0.3905916213989258,0.7369281053543091,0.516182005405426,0.24394407868385315,0.2773025333881378,0.6136718988418579,0.4454210102558136
81,0.7535807490348816,0.4963606595993042,0.23014089465141296,0.26223504543304443,0.6073399782180786,0.4205324649810791,0.7369281053543091,0.5262987613677979,0.2540372610092163,0.2772374153137207,0.6081783771514893,0.4638502597808838
82,0.7535807490348816,0.49313420057296753,0.2271016240119934,0.2617030441761017,0.6079009175300598,0.4148734211921692,0.7369281053543091,0.4915916323661804,0.22468945384025574,0.2765201926231384,0.613135576248169,0.41026368737220764
83,0.7535807490348816,0.4759938418865204,0.21333330869674683,0.2615278363227844,0.611303448677063,0.3898172676563263,0.7369281053543091,0.5022510886192322,0.23385094106197357,0.27627408504486084,0.6097165942192078,0.4269917905330658
84,0.7535807490348816,0.4853501319885254,0.22130459547042847,0.2609548568725586,0.6079877614974976,0.4042285978794098,0.7369281053543091,0.5270594954490662,0.25481364130973816,0.2764522135257721,0.6077777147293091,0.4652678966522217
85,0.7535807490348816,0.4983782172203064,0.23198896646499634,0.2608155608177185,0.6055057644844055,0.4238201379776001,0.7369281053543091,0.5234789848327637,0.25186336040496826,0.2760007679462433,0.607490599155426,0.45988088846206665
86,0.7535807490348816,0.4926595687866211,0.22720664739608765,0.26052188873291016,0.6063759326934814,0.4150717556476593,0.7369281053543091,0.4970671832561493,0.23027949035167694,0.2753935754299164,0.6077868938446045,0.420470654964447
87,0.7535807490348816,0.48207759857177734,0.21889479458332062,0.2601592540740967,0.6080525517463684,0.39994361996650696,0.7369281053543091,0.5146312713623047,0.2444099336862564,0.2752307057380676,0.6077219843864441,0.4462715983390808
88,0.7535807490348816,0.49254268407821655,0.2270066738128662,0.25977712869644165,0.6063079833984375,0.4147411584854126,0.7369281053543091,0.5242466926574707,0.2526397407054901,0.27526840567588806,0.6070895195007324,0.46129852533340454
89,0.7534722089767456,0.49875399470329285,0.23214130103588104,0.25959762930870056,0.6049134731292725,0.42430350184440613,0.7369281053543091,0.5154234170913696,0.24518632888793945,0.2747783660888672,0.6073076725006104,0.4476892352104187
90,0.7535807490348816,0.4884529709815979,0.22369690239429474,0.2593213617801666,0.6069226264953613,0.4087173342704773,0.7369281053543091,0.5000834465026855,0.23245340585708618,0.2744869589805603,0.6085366010665894,0.4244399964809418
91,0.7535807490348816,0.4863567650318146,0.2223222404718399,0.2591686248779297,0.6089893579483032,0.40619325637817383,0.7369281053543091,0.5234789848327637,0.25186336040496826,0.27452322840690613,0.607490599155426,0.45988088846206665
92,0.7535807490348816,0.4977208971977234,0.23104426264762878,0.2588012218475342,0.6070480346679688,0.42210304737091064,0.7369281053543091,0.5141177773475647,0.2445652186870575,0.2741934359073639,0.6057692170143127,0.44655513763427734
93,0.7535807490348816,0.49119865894317627,0.22577646374702454,0.25853678584098816,0.6071304082870483,0.41248008608818054,0.7369281053543091,0.5071817636489868,0.23850932717323303,0.2739202678203583,0.6071146726608276,0.43549758195877075
94,0.7535807490348816,0.4878864586353302,0.22311069071292877,0.25836122035980225,0.6078988313674927,0.4075971841812134,0.7369281053543091,0.5156986713409424,0.24611800909042358,0.2738220989704132,0.6049618124961853,0.4493904113769531
95,0.7535807490348816,0.498262882232666,0.23147696256637573,0.2580333352088928,0.6065468788146973,0.4228813946247101,0.7369281053543091,0.5250119566917419,0.25341615080833435,0.27384454011917114,0.6066914200782776,0.46271616220474243
96,0.7534722089767456,0.4965813159942627,0.23056532442569733,0.25802236795425415,0.6060289740562439,0.421455442905426,0.7369281053543091,0.5069820284843445,0.23959624767303467,0.2733466625213623,0.602734386920929,0.43748223781585693
97,0.7535807490348816,0.4914665222167969,0.22605061531066895,0.2576253414154053,0.6066826581954956,0.4130461812019348,0.7369281053543091,0.5077906250953674,0.2403726577758789,0.27324730157852173,0.6023345589637756,0.4388998746871948
98,0.7535807490348816,0.49284008145332336,0.2277049422264099,0.25742968916893005,0.6064214706420898,0.41600412130355835,0.7369281053543091,0.5077906250953674,0.2403726577758789,0.27307549118995667,0.6023345589637756,0.4388998746871948
99,0.7534722089767456,0.49818968772888184,0.2317647635936737,0.25723737478256226,0.6064836978912354,0.42357754707336426,0.7369281053543091,0.5136059522628784,0.24472050368785858,0.2729959189891815,0.6038314700126648,0.4468386769294739
